,11_T0.01_B0,11_T0.01_B1,11_T0.01_B2,11_T0.015_B0,11_T0.015_B1,11_T0.015_B2,11_T0.1_B0,11_T0.1_B1,11_T0.1_B2,3_T0.01_B0,3_T0.01_B1,3_T0.01_B2,3_T0.015_B0,3_T0.015_B1,3_T0.015_B2,3_T0.1_B0,3_T0.1_B1,3_T0.1_B2,10_T0.01_B0,10_T0.01_B1,10_T0.01_B2,10_T0.015_B0,10_T0.015_B1,10_T0.015_B2,10_T0.1_B0,10_T0.1_B1,10_T0.1_B2,12_T0.01_B0,12_T0.01_B1,12_T0.01_B2,12_T0.015_B0,12_T0.015_B1,12_T0.015_B2,12_T0.1_B0,12_T0.1_B1,12_T0.1_B2,27_T0.01_B0,27_T0.01_B1,27_T0.01_B2,27_T0.015_B0,27_T0.015_B1,27_T0.015_B2,27_T0.1_B0,27_T0.1_B1,27_T0.1_B2,16_T0.01_B0,16_T0.01_B1,16_T0.01_B2,16_T0.015_B0,16_T0.015_B1,16_T0.015_B2,16_T0.1_B0,16_T0.1_B1,16_T0.1_B2,20_T0.01_B0,20_T0.01_B1,20_T0.01_B2,20_T0.015_B0,20_T0.015_B1,20_T0.015_B2,20_T0.1_B0,20_T0.1_B1,20_T0.1_B2,26_T0.01_B0,26_T0.01_B1,26_T0.01_B2,26_T0.015_B0,26_T0.015_B1,26_T0.015_B2,26_T0.1_B0,26_T0.1_B1,26_T0.1_B2,28_T0.01_B0,28_T0.01_B1,28_T0.01_B2,28_T0.015_B0,28_T0.015_B1,28_T0.015_B2,28_T0.1_B0,28_T0.1_B1,28_T0.1_B2,8_T0.01_B0,8_T0.01_B1,8_T0.01_B2,8_T0.015_B0,8_T0.015_B1,8_T0.015_B2,8_T0.1_B0,8_T0.1_B1,8_T0.1_B2,14_T0.01_B0,14_T0.01_B1,14_T0.01_B2,14_T0.015_B0,14_T0.015_B1,14_T0.015_B2,14_T0.1_B0,14_T0.1_B1,14_T0.1_B2
00,0.38402333211216916,0.13854192837893117,0.32771856597535265,0.3845873246516528,0.22712216100836874,0.22203879465400364,0.2726989187335402,0.01663104138700608,0.0016920059502595732,0.6326227877601541,0.19101963163112526,0.4166308232048373,0.5912939166463707,0.22665144776889376,0.39445108841889304,0.37785625581139975,0.08037383558664286,0.2270917163608038,0.40388521071339006,0.19647429449008938,0.3044321612864062,0.4254822398253841,0.1914842953935232,0.32981137699327134,0.12639302771875893,0.050377106093923006,0.07007851829452184,0.3529117781315397,0.15239315643924575,0.11177982031208612,0.4183779104478913,0.2740797895493222,0.09723597963387717,0.018522020741528547,0.009158568438095776,0.02906771980235582,0.15808491934093488,0.1366085218507195,0.16334096982103224,0.17770870534119182,0.30004617701260333,0.08377907202447693,0.002669415019156896,0.01684016530770027,0.013669117985457535,0.5056586855338586,0.13196534148182434,0.14539676352995903,0.47386139625326107,0.17884597343712236,0.16254690225793927,0.20567499819611848,0.0064696215462016005,0.007185758351958622,0.184967715491835,0.22745904463596406,0.20913819851530074,0.12072138447318671,0.1368368444081189,0.22602352682538968,0.001097823152004844,0.0018474355075065872,0.0004635708383554727,0.13479499917042642,0.13975640917658985,0.17362723606932137,0.13203746569348648,0.16433523388518692,0.1452271933012679,0.002040192811471518,0.0037276273384736574,0.001983461130470106,0.24261656412879296,0.17052252401456225,0.15269800859221594,0.23282313740891455,0.19887059177979124,0.1928176943387043,0.0034528461818441347,0.00906448281751777,0.007056934028697937,0.09585861910916055,0.26300607385947217,0.12880653620679286,0.16146915007345838,0.2234278353124788,0.0783287729039906,0.0024731908911756273,0.0035553180409148635,0.0017354424127574452,0.10394507030998541,0.2986461035925231,0.20993325794197792,0.13578536917748257,0.16818899485689692,0.18064984087399344,0.00046530831544594166,0.001583629292742722,0.00013482369531628307
01,0.24602338893999326,0.0830434186482399,0.1764035357454991,0.3588778986924418,0.09006159060227249,0.1261334341515797,0.26172554577403184,0.0349287151028264,0.10603304108971741,0.40718075837943013,0.4362851520876248,0.30135028597787183,0.409256622599011,0.24668333156841205,0.327914725110313,0.4897523548724813,0.1298333210902411,0.20961531299835312,0.21289616367560965,0.3154645974452959,0.20809845138661404,0.32884884039969464,0.19137720803184347,0.2481313272604022,0.10379160859693388,0.10387553207467959,0.15228098604446527,0.20050180010593746,0.08625751889927497,0.16905341773442473,0.1783093138401897,0.05979231224820703,0.22199532543434602,0.010037677095732923,0.013157931890299266,0.2379079248129083,0.11613127589214836,0.0668302521022915,0.09644302416122078,0.14806636043342256,0.08099267934215938,0.14098838026081814,0.015529998430420052,0.02123008951842297,0.07767156574170145,0.2895074291041412,0.2762962425965639,0.06623578433297615,0.3269917612176129,0.31025901843643955,0.06757292866518298,0.2699602290297078,0.013414482247268671,0.023268837026229398,0.11183434336649196,0.12151765755480207,0.11199401757024667,0.11252515883916618,0.1866813213124325,0.1088671977969125,0.036009399480083366,0.027999184766791436,0.09139584441550502,0.12073746978358411,0.15561158910184175,0.24488356551335544,0.32386608277737167,0.18569445337741752,0.27524340992028257,0.03356450070643543,0.2435358789068283,0.27737908020242913,0.09232683658007554,0.3006117669476151,0.16002114287112032,0.07742368761192499,0.38432810335931805,0.12346633936607346,0.020103707385435727,0.19805857422746947,0.1044862555075012,0.24351109017023817,0.15642497304722366,0.11299534297231398,0.15861999900816415,0.16256101327461403,0.1874125660542009,0.06074924680008127,0.1777043777396277,0.3922325730271885,0.134796903916897,0.06411250825005908,0.10638339526676173,0.10192404510014323,0.09039500493045129,0.1413565913489947,0.02332041746375984,0.01851708226968177,0.08324993530703949
02,0.009769984541253723,0.0038840527335762456,0.002350684027182136,0.006190316387550019,0.004156387560768392,0.003799735614564373,0.000970965420600425,3.6257925043551384e-05,1.6325258055844045e-05,0.001022163546629529,0.0057408617031405795,0.00011235878388088941,0.000782548977103749,0.006541120664242546,1.5304512526809213e-05,0.0009995038959592058,5.993390103270609e-05,1.768758419399744e-06,4.8470317007672034e-05,0.0046817650191752665,0.0034265154362560163,5.599032148994075e-05,0.001907161220729315,0.0026309316291566885,2.792100997200973e-06,0.000818727245525877,0.0003080953619418146,0.007389806443854366,0.0027212441781522944,4.064697126554235e-05,0.012111218261946638,0.000807182958030707,7.394792033203227e-05,0.0004790093676761832,1.4254772793945379e-05,4.275571189876619e-06,0.002543989288939609,0.004346809998313898,0.0042622482127562256,0.00468659093097926,0.0025316900142121367,0.006224922978297125,0.0009911172746982478,0.00014606461404525258,0.0042882358460177294,0.004138411510941321,0.01326688254256322,0.0037060872433438076,0.004505591125253656,0.006474341176394282,0.0015695603913382047,0.0038027438052563715,0.0020864473759584627,6.038712379592134e-05,9.697078871573488e-05,0.0008744406086756568,0.00017254444397704928,8.606236287419698e-05,0.0010039760739204704,0.0001514244739018647,5.555607395074172e-07,2.5845497303771087e-05,5.0808273506252324e-09,0.0025315376043855893,0.0016588573210477285,0.0032714211204035335,0.0029888553475701895,0.0008418918916187233,0.002771880326970846,5.289615284574108e-05,6.628249551156605e-05,0.004864678902822409,0.011923901010117565,0.0005867031391599798,0.014943100164918736,0.015706223168615023,0.00028735885599164923,0.008670774851526415,0.00012897501130675548,9.887503188544296e-06,0.000636793267006492,0.0014897136177628699,0.0023550382239189527,0.0026048549471517648,0.000644193706024568,0.0005280323185710241,0.002021548253383008,4.034672766047541e-05,1.0546760136776218e-05,0.000789278059082031,0.00018238409241964088,0.002628576949933343,0.0012741980183718267,0.0002941797966795425,0.0020763884013815033,0.001905584976209428,4.204460474348761e-06,6.617350836634408e-05,2.4925833167818025e-05
03,0.007681363802436411,0.008904475219472486,0.005075261719707147,0.007177798367770149,0.012863778235389192,0.001815203853894521,0.004369143169691484,0.0005198447132862737,6.5760588551278425e-09,0.0011760968292545153,0.0006952848355805185,2.6596420889579195e-05,0.0016478226675332767,0.0007946712663293826,3.1107986171285384e-06,0.00016487683124613608,1.4371145069388296e-06,1.7200759312678463e-05,0.00011568175748390997,0.0018962780822416256,0.003815396249024501,4.82194264339184e-05,0.001391341870875216,0.0025635880747843995,8.474721333538477e-07,4.077891807647264e-05,0.0002882122733390696,0.004512954436089327,0.017449765731724524,0.000179587970349545,0.002053818780917439,0.005424547229028641,0.0001283984800143769,1.6147532936996156e-05,2.1372564709800766e-05,3.604653775231371e-05,0.000964953381230305,0.008102268965589434,0.006417086046810446,0.0008227117095555756,0.008309515120177432,0.00518566656958491,9.966430356551773e-05,0.00033213399217872354,0.0004457817016070648,0.0011303014324681453,0.010358471547404352,0.004171091755643184,0.0007372911707889789,0.012353217384693022,0.003011362793855114,0.0015547433689416257,0.0031470903268276526,6.251582084936394e-06,0.0019270053077911355,0.003153076093167198,0.00251499483576144,0.002050158966766635,0.0017804188237070058,0.00029016860933849323,5.912452966246423e-05,1.2236503856249614e-06,9.48440276477986e-09,0.002557648870263331,0.0033950385381457853,0.0023535552943728883,0.002435775402248505,0.0019261400411201314,0.0019267809522530081,3.2496739671075754e-05,0.00013524091458139433,0.0005117712663374142,0.005490266691009638,0.006242922774146495,0.0024936954711820137,0.0011341698029179654,0.0004811209578954537,0.0018667073500674908,1.9854006808667535e-05,6.238985655737006e-05,0.00015575763689546494,0.02989788268795848,0.0017238558151450255,0.0003498752541747847,0.014831532325268366,0.0009933362153729363,0.00016054296592873832,0.0003142566145379641,6.014003294838852e-06,7.666690819649105e-07,0.00031830211848243953,0.00033770028789953713,0.0011351062066528893,0.00022686311337560364,0.001323550605470867,0.0008872100139526404,8.839309791277703e-09,2.9214500626846038e-05,1.425120926888392e-07
04,0.025653195968514453,0.032792023042857686,0.014593534308695883,0.027556283192100045,0.015263177592879141,0.006308605766521184,0.09190452533127161,0.0004270406203604061,1.8507267897244418e-05,0.011169397981641944,0.0035863886007962173,0.000247873808965536,0.009443302335602845,0.003110226211095204,0.0013226522697137066,0.014577148066893624,0.0003071313882189392,8.901258215099975e-05,0.005601662530898457,0.004757886867703558,0.0047161572016508,0.004707119279251258,0.03731877949508367,0.0038092653262502643,0.00871234463718907,0.00022234632206885108,0.00031459167811330967,0.014372809770429713,0.023450102977810538,0.024379457556290614,0.013248791845127016,0.009078436538043322,0.0032933522024807048,0.0002492208558460711,0.0002602926664477685,0.00021695135733052758,0.003057521159053127,0.005025681395373782,0.05265382614271678,0.0019624145184501474,0.0012732329023126627,0.02963051471266167,0.0019220939980441585,0.002274325602937611,0.003779032013468021,0.021033013572592435,0.018428322767164124,0.01937311691617515,0.019638755589698575,0.0067704138384755376,0.04480581872112796,0.005501354331217608,3.119509632174168e-05,0.0006736975913675761,0.0009545411551712319,0.0028718841923666997,0.009451922163040196,0.0029925048652521,0.0164846392963224,0.013914283591984308,5.0985992220135183e-05,7.934497539265097e-05,0.00011720331301967235,0.004481755913101041,0.004118510980344864,0.0007168456261476254,0.004712473354288445,0.007744003535628935,0.0002811829118410738,0.0010970346902322474,0.009351388341230822,0.012197710852501549,0.0006678814415202826,0.009600998107082427,0.013647025317882675,0.0043324268475281435,0.007478273797801217,0.011179875275369225,0.008758301183896096,0.018433775673844553,0.014139318113261532,0.004237251695747072,0.008988243517053192,0.013556031234127835,0.0012714415385643983,0.007504927448651627,0.024303458161863557,0.00027255365834962685,0.01539305130356174,0.03413097783823322,0.0033047726897269016,0.007371901921675794,0.003474076427121387,0.002613001437215716,0.0038920361103848855,0.0017539861815218164,1.205088837436962e-06,0.0020051756730672427,1.5909454293270608e-05
05,0.013936682798762999,0.05742946777058043,0.0037931276428848242,0.01668729479831009,0.026433562769836813,0.013478978940006324,0.04078718172640446,0.0012336495738522887,0.00030180127433251773,0.010584656174841188,0.005645479374364063,0.00024123441302599232,0.009867292803510877,0.0031177781790297353,0.00010519778025260716,0.042857420359378826,0.00022108360483394303,0.00027713042118070977,0.012221010252158581,0.011050030769283065,0.0032813972123272826,0.010473690579906996,0.013990000030094313,0.005850651491099155,0.011638655356373812,0.00026074086579949766,0.0005743358379367359,0.04640995284298016,0.016136955943727146,0.020704088613932574,0.02492095135908295,0.012603749316103521,0.005036840692988928,0.0031499190575683266,0.002929205202886293,0.0011164454082885909,0.006730171414755087,0.02010251227354476,0.03608746122384436,0.019291034888833228,0.06223177010675071,0.08204661654952218,0.0031533591768887264,0.007188909100310254,0.009564091141683214,0.039065876016598396,0.006217734881352541,0.03557038442418349,0.03853611693439725,0.010064843032307156,0.017368224878638712,0.046596426751802374,1.6241446650032114e-05,0.000700996941562762,0.001943920688516756,0.009068000606514191,0.022725387971650517,0.0028193751154556614,0.0018057715265058691,0.01446361370166901,0.0007397864768397545,6.0648463377192e-05,0.0002499561799466797,0.0014953239761233128,0.006350095587691591,0.0012175106904382563,0.0004726536155150599,0.004596642789104199,0.0006940624357562661,0.0003629292506986153,0.0013285750479139836,0.006734468091177423,0.0036905938506160553,0.01423331960636568,0.010905576551925096,0.001372253855540427,0.008901499262439595,0.007554784449318295,1.281176744879314e-05,0.00139237256890931,0.008062318635832965,0.015384042256526396,0.00440913860385396,0.005977427582807456,0.01796927306457772,0.013673568363335883,0.002580170846101498,0.009315759390523782,0.008332656974115896,0.0237952347132378,0.008775315828797611,0.01737430218001243,0.004611159276093158,0.005240221435642415,0.010097988121666256,0.0019778417143947215,7.226984254597519e-05,0.0015825482462044848,1.681046747139988e-06
10,0.3231616987327698,0.10782399046957879,0.39380783090069116,0.33380223121923436,0.2019919672751488,0.2632809243215297,0.26714372219511356,0.02178492570469809,0.10188010297751325,0.30154911759907543,0.10974091482167211,0.33599043644763277,0.3475930511260565,0.1427501943105293,0.3606478216227949,0.4525728148396355,0.0866148604261793,0.27627155625407335,0.2724552327388033,0.18762832101453855,0.16324263641594222,0.29417009024848495,0.22282473884144033,0.20977083074870237,0.13022578935823237,0.15696218818750127,0.17703210625047577,0.21863243814129937,0.16155152067348993,0.47508872586572387,0.29139393710064454,0.4406924765721937,0.5480950206492068,0.05050462008782067,0.03389227218966412,0.3140098483445861,0.12368600133915432,0.12299872008076594,0.09832005454183661,0.20173363788757806,0.41714375948242266,0.05564039222979774,0.03984842070671208,0.08661888569355171,0.05051886173963377,0.3450819915926907,0.07715809813771589,0.11413856861125299,0.3477990697909047,0.1137193824301767,0.19871653923967134,0.18027206158271866,0.007465015879130618,0.07624714352891675,0.15868537542789507,0.10362844510511417,0.12271555449076219,0.12085399310732942,0.06537198394035681,0.160022393946231,0.01248140554393729,0.006078578390312004,0.013113617465358414,0.09244589040850347,0.12426087615936389,0.15829963771814434,0.2011445357800567,0.20891567744352782,0.22446497083897346,0.038867248357904075,0.13911944575217053,0.16617021325104178,0.25101397681664145,0.20149086360496904,0.17585003632847174,0.27340272880299027,0.46248741256490483,0.297585788306438,0.03999000383609309,0.19440468116059412,0.18249691289428704,0.08137960119846094,0.2602527381579597,0.11251833024078302,0.20100890971071614,0.40659778925658263,0.10768452741545016,0.07153937304576244,0.30994669337196135,0.20465294284062446,0.08899236711724855,0.2614084998951477,0.12385840261402395,0.12800378382967903,0.14326228059506838,0.12782339987947167,0.006355092818605245,0.05203751241385723,0.01688265447417247
11,0.5464883839675285,0.18525335985017685,0.35028737316501757,0.618102262080262,0.18389760700609234,0.2579248518669,0.29831765775336244,0.024703598314949272,0.05753657068565919,0.49920642723129577,0.36562646765013596,0.38962243541913705,0.47767579896071927,0.2390841669363031,0.370310698266263,0.3029182667465497,0.04100322902558394,0.14720419974456803,0.5004855209612716,0.36874539017050745,0.2970251314515251,0.5493113132697981,0.23881986324293997,0.29134380477568234,0.1386307119241721,0.03765897075928903,0.09573141338077998,0.35949159496302246,0.19433697190260407,0.4874308162709448,0.3166673320874202,0.13950911167145139,0.451227591879078,0.005744617214107003,0.00568769872065697,0.13300470488142221,0.26238228662678087,0.15333549795789764,0.11656162008928464,0.2941767560475277,0.18602110825740809,0.12663915963788738,0.008716936985675236,0.04272484575031842,0.012083454751441819,0.5112757824126659,0.31953492638438774,0.1106470221414707,0.4997971854413177,0.3490704270762949,0.07935132437875306,0.2730093620691168,0.013795369700124117,0.003542348716533382,0.0961355479577169,0.19575051255045978,0.14002181736300276,0.08207674775859285,0.2774158428326646,0.10288358296205748,0.0017122311565359594,0.005758199222526164,0.006341448677841822,0.19676799997359037,0.1870691642181413,0.24254015783065283,0.20573047873901232,0.1505138528836057,0.16024670035038815,0.0015639210846660283,0.006489017931564462,0.0043020476040061826,0.08853078453232151,0.28218489662245433,0.17994992186254996,0.06863946248374543,0.2115187898218456,0.11030432169005287,0.0009755866551634831,0.006120702437689801,0.0030905372990305247,0.22520181258930588,0.1926053644479369,0.1257888680051808,0.11862049045178585,0.12471858379905006,0.1138021606153535,0.0020103344132007444,0.0011424853629112977,0.0024977916129861086,0.19993977606055052,0.11940374505351276,0.17828407040983063,0.1339397999305881,0.14907441037526495,0.18123708744448913,0.0017843635667981355,0.0020355781033773294,0.0009448628661495354
12,0.01428654722972203,0.0022708671828813665,0.0011250023791454103,0.01148549449081579,0.0016872637912450448,0.001554414290158519,0.018308646470047783,2.8773761594672617e-06,8.027852792298188e-06,0.008731123085085137,0.012631258195137253,0.00047302589898659623,0.00941695206218699,0.01573171481468473,0.00011388135302362711,0.01676194002033233,0.0007064927584067122,1.8978404360801065e-05,4.223118247277159e-05,0.008592467152895014,0.01181664708582857,6.252057467495409e-05,0.0032323832435475113,0.012336624120372855,0.0002771443953516813,0.0004504906765795113,0.0023710507635377486,0.0021412523463677905,0.002378505865158724,5.098645982260767e-05,0.002180913072049509,0.0005579781981531518,0.00010703133397731417,8.621312497121747e-07,3.24087645583051e-05,5.851593198408552e-05,0.0008436171245357111,0.007001061856658618,0.08564764783663367,0.000595450780071999,0.0038002055280473047,0.13004383765178065,8.259750328457981e-06,0.0005483387631065398,0.06356056958949696,0.002857292154701005,0.004163436360829998,0.00838136708102726,0.0023135949464542054,0.0007949814982336273,0.007391632300247577,0.00022521119565313167,4.2006619364721415e-06,0.0004789519802067462,0.0005038327207001134,0.002060978129400291,0.003081658345396827,0.0008011549238723859,0.0027135028198602496,0.008682727309137083,0.0007882509625585456,0.00042988848470986997,0.014377248055608954,0.0022296711293985313,0.003512938846407193,0.003533478213988601,0.003412399354963046,0.0024859131643970834,0.0034078014141045217,0.001665855262905071,0.0045469456872600615,0.013486574514764278,0.0046274252373306925,0.000898026329956229,0.011776163446955375,0.005469474922545305,0.0006688658035003429,0.008438460970916025,0.0001422729118623304,0.001673587338760684,0.006600540429248229,0.007465587123337427,0.004527357492483531,0.0033441868331298167,0.009739320195370278,0.001959792169417954,0.0037858253472769746,0.008498660904341832,0.00471021086213655,0.008444745104763247,0.00016815673880547937,0.0046346410247501725,0.001177408893763756,0.00038736327641923033,0.002931618974139372,0.001581230194799791,0.0007733527608687796,0.0002848146931718479,3.335031649249415e-05
13,0.0018546972003878786,0.0016807869049111023,0.0019228414369416313,0.002317155412174755,0.0011451139934750565,0.0007519846430772114,0.005120353178389969,3.0072255018691437e-06,1.1955107854016506e-06,0.0019584197255188276,0.0017158151307974227,5.327542514601806e-05,0.003388185718386268,0.002182038663915883,7.777917349057772e-06,0.021372840550931096,0.00010215520321226544,1.3016403178938674e-05,0.0005617305453909135,0.0016916185575073968,0.03546353579472465,0.00031437011121114475,0.001117129819812201,0.0330816569014506,0.0004859995063759198,2.8554665638274e-05,0.0015094942587844805,0.004759448646263406,0.010795440682332768,0.0001672477492574831,0.003991338875531418,0.0020833479418611357,8.692329304152992e-05,9.689639280248546e-05,3.267798488865939e-05,2.5537044766506093e-06,0.0025682836637847786,0.013965296036871607,0.012547157850828477,0.007385992875879894,0.01600258672016353,0.012612668150923911,0.0020552786809863903,0.010578494737395359,0.02524954478233428,0.0003307789330712955,0.0021209519447088214,0.012636096145819493,0.00020817938017841876,0.0014116586484970255,0.016840840365091925,0.002713895050855239,7.153762667138136e-06,0.00022460030679246904,0.0023213178337083973,0.008288176847815486,0.01284019998282442,0.00263521922007246,0.003774785547491051,0.004204274554352548,0.004365688869340882,0.0004497239903492201,0.0013590639694696879,0.002823440789859756,0.008173582992156692,0.005305442547857613,0.006094963770802334,0.007934546156318214,0.007175740487192369,0.0003921233817953484,0.013962401575311903,0.006772825707306078,0.002774360578116349,0.006347245508058193,0.009977426463016973,0.001137097435568527,0.0005797758173109052,0.008810384388835732,0.00029833145819217397,0.0019901732402131064,0.001067502629146385,0.004741023748073055,0.012959445914121027,0.0014834071980174464,0.0019278540574644459,0.021764835026247098,0.0033038884160956294,0.0003557022408071056,0.006001540571095879,0.027625151676933024,0.004149125564008021,0.010398215038092821,0.0010557988243852382,0.0035060566005884882,0.018282266364138558,0.0009623773029809804,0.0016029072491876694,0.0012183578278053956,4.338261507587206e-05
