,6_B0,6_B1,6_B2,7_B0,7_B1,7_B2,9_B0,9_B1,9_B2,13_B0,13_B1,13_B2,14_B0,14_B1,14_B2,16_B0,16_B1,16_B2,20_B0,20_B1,20_B2,21_B0,21_B1,21_B2,23_B0,23_B1,23_B2,27_B0,27_B1,27_B2,28_B0,28_B1,28_B2,30_B0,30_B1,30_B2,3_B0,3_B1,3_B2
00,0.15286385825344298,0.2697487757937221,0.3512258811913488,0.18476253724315458,0.29336063825104874,0.14653098146876814,0.19820124063580036,0.16534200274719865,0.1312297104421982,0.23016972164582608,0.28893701063995036,0.09935628183341294,0.09859415779848596,0.13604437341806125,0.16148276483024487,0.11781310763096044,0.1841051190120292,0.11293036538155558,0.15887771676102122,0.34900006496015834,0.15426040603938182,0.14852106082209016,0.1850261115569602,0.17006473391216384,0.336821987158338,0.23321538586101015,0.13331989797606472,0.24284269214344117,0.2601104883942288,0.2634827960033445,0.14501434578646394,0.17471477173602554,0.20080290938409745,0.11641924514868308,0.23259074952284375,0.34933655118728996,0.24664750627522686,0.07929307236329315,0.24389981369079908
01,0.06065477165183387,0.10877893779080373,0.1777317491951631,0.11894781751750388,0.09497288229711881,0.11759242916441287,0.09966657415895568,0.05834518760074842,0.062307110682244655,0.09056193773413197,0.08857774024173606,0.23184033900268566,0.16229294546364423,0.08532597643759104,0.09440570082680193,0.13569991106271098,0.110180027536938,0.09343518780489522,0.17120081168528137,0.07381170242328394,0.08544210555226775,0.062374515606689614,0.08449373570805263,0.17238228623253507,0.11840346963643947,0.17738584232145244,0.1949999674655304,0.0470835504411409,0.17147408387019517,0.07757337208926514,0.08960078080403802,0.19749848967932804,0.06340533161337562,0.05083572081163528,0.07641652665381507,0.062499165614777114,0.08835749900632565,0.32704952783293245,0.08406947159801731
02,0.0021002904608151706,0.0015589274344009333,0.0007803674585115591,0.009043971933581536,0.003493106184496315,0.017059582216161665,0.00820245548662284,0.018967606586913748,0.023366714597196945,0.005859792452927565,0.002712205245676939,0.007665516150981735,0.0027243292301285154,0.01848162791735482,0.014694601865430243,0.0025364224887001806,5.9211685826558685e-06,0.004920111142686474,0.0004959827444412379,0.0006720989054882035,0.008726253253220911,0.0015530936511978606,0.007216583646280951,0.0005459119079326242,0.0003799765990034441,0.01363538853306589,0.00238105624261161,0.003922244979687816,0.0062099811846731195,0.009886443712592428,0.0003247577998998093,0.03093957053251354,0.009747569359237533,0.0017478312401098704,0.008882411551681792,0.0068262887872321786,0.0011547694079953848,0.002480387313713186,0.002996488364957185
10,0.0857332915882399,0.23979767735524313,0.30117428510860716,0.10551354881043833,0.23493916457807207,0.08206433912501365,0.12865361369802775,0.09217110287416182,0.07329060715739537,0.12567423547677792,0.16378484842400587,0.11270062125680924,0.06059807629432464,0.07683067583210923,0.0927081725787414,0.08554058147559157,0.10362305153239879,0.07916859466882444,0.12559582233404076,0.17209534114346792,0.08159371541586767,0.09132620810182063,0.09947346969384503,0.1866270700091259,0.17191755276394952,0.11603880764476572,0.1200484220686647,0.20705655478410123,0.18068199157211218,0.1452941920217754,0.0695103003503243,0.0944395279579664,0.16856383927206503,0.06918850613051672,0.11975273885289621,0.22726987280217156,0.19492747714756078,0.10494788326616503,0.13419591035202275
11,0.11296212503188484,0.09034225739032652,0.20721894538150643,0.20686250054989577,0.11538299397716621,0.21003585430693675,0.15736155347100722,0.10816216484553469,0.11319199245129394,0.164720289640875,0.16165205806973404,0.3401674416726117,0.2633941507219477,0.15177323684437716,0.16781757514959783,0.16111179390053768,0.19515284098640245,0.17008456106385383,0.1619580622455773,0.11773998321895034,0.15759736540348773,0.1107649886600664,0.15675159155626647,0.19988898832893673,0.17734506788654708,0.2594055099560031,0.273423350490216,0.12212938143655817,0.3281222271657371,0.13095422796168973,0.1369851938611761,0.35600386216354274,0.14343828745924075,0.09050170155352882,0.142510405247581,0.10216237635915407,0.17325877207590756,0.2540977964831565,0.15553050015155867
12,0.0024780650325151813,0.010800086589469408,0.0013161747873353445,0.010175509150071026,0.0025670365709552965,0.017195922834732275,0.019031582034169776,0.020275960313539412,0.025227808859464178,0.006125680249385542,0.0031857367179768782,0.005233247858299248,0.005809672656026169,0.02191462298589949,0.016711558310107698,0.0039983547300229605,8.14779569447535e-06,0.0036727299876376392,0.0014548665935015526,0.002364279446242922,0.011586680106905944,0.0022238558873894265,0.0075274344354232655,0.0003933873507472527,0.002263856636405865,0.02354060818639584,0.004659095171311512,0.0010147320384488218,0.008004933977608479,0.02498480119967035,0.0007914017172655033,0.034857447747046244,0.005491859960230779,0.0023163395924876277,0.009971360520652417,0.007918185977739151,0.0008081598647787903,0.0082801969156256,0.0036171904768529583
20,0.08322461241161337,0.12966624867967622,0.2170014052872837,0.09050049693916558,0.11922754189271442,0.07895727199749712,0.1327671931389459,0.08805651030474591,0.06704575750071304,0.10542961995045899,0.14839327719174664,0.051011740217294294,0.04735690324491187,0.07547391564653586,0.08381593464988893,0.015587953973360553,0.0644548406233163,0.025358753567576192,0.13518318378347233,0.1252506967615623,0.07920792104988193,0.044699143235976416,0.0833213159818052,0.0067108721016312,0.08720423218688281,0.05699384063609109,0.026240640063379058,0.03383897944601366,0.112847668954748,0.131706724617492,0.008031564058087326,0.08616165081091473,0.13569021646537802,0.049587112887315606,0.11535622726732835,0.19117249777753373,0.11934541512225755,0.12764812723566704,0.12234900275027918
21,0.052499355752114694,0.022992906907120986,0.015074463368105747,0.0954869581674732,0.01678696396513274,0.10473552370540916,0.03421261523996603,0.052364704902213795,0.05257760995837588,0.07555126773164841,0.06905346729201652,0.05597195331184904,0.1292611221035407,0.07499864939479953,0.08606242652511874,0.058657041330135995,0.12425698401506001,0.02595962216926497,0.025096856802409587,0.01339274547572665,0.07856878317896095,0.028898111177029007,0.07306709994584204,0.005301353860637872,0.005873549386118701,0.14533287064623546,0.05407120624977832,0.0006411450706508723,0.1741390428890418,0.05854244467368841,0.010534578359477059,0.1813559636908713,0.018575700468457024,0.027607279740096035,0.07051999936625525,0.029665429994734024,0.01865602929490291,0.0696208009299024,0.08095694860891828
22,0.011590841639519062,0.06351318608197838,0.23916825361306798,0.038258447456414754,0.19405138637954927,0.03669585947946945,0.13824160475085495,0.030695139531823443,0.05693927641590158,0.014507566058687745,0.012761617509673138,0.1544177702948256,0.011475962480644633,0.04838696537083429,0.030070820446137955,0.10086582500287992,0.0030844586200701406,0.35877478240942234,0.3943277654155339,0.10593926556597687,0.032410237114540094,0.6310749603510095,0.01601489018943638,0.3934969057388808,0.5026195107399064,0.07084735039877507,0.1604798206004794,0.4313837074944019,0.016639259844532822,0.0278356525263361,0.8038017666622198,0.06790912717940649,0.28477300327999194,0.4171317788599384,0.018034997781567044,0.03416019174810243,0.22556296105921841,0.3956300923695284,0.01318861626876099
mu_0,0.3027801549838095,0.14772222011973357,0.10914890862412349,0.2630635825531383,0.1756887994875444,0.23209659872426197,0.2411956561808176,0.23505785151425473,0.24045426499028671,0.2551962422102569,0.17950232056921492,0.23227645437900676,0.3205036274240371,0.26045406111068076,0.24077532099758506,0.31774464895026155,0.34388789214807114,0.309745802369242,0.32056657490009854,0.19204796490704598,0.24375599241518367,0.3157318953297949,0.22111042954501095,0.18812115859027878,0.17897132971236102,0.17855220921680953,0.19383903499164037,0.2033072305279928,0.14878011918305187,0.11453590998215897,0.2724934626912728,0.18814586895563376,0.14519819889267155,0.33164008799046113,0.2408085025072779,0.13870055439823525,0.2040536282535065,0.23605080701673126,0.1687385755936616
